city,title,label
경기도,강씨봉,0
경상남도,강양향교,0
경기도,강영천효자문,0
강원도,강원 경찰충혼탑,0
강원도,강원 동해시,0
강원도,강원 삼척시,0
강원도,강원 속초시,0
강원도,강원 영월 김삿갓 [슬로시티],0
강원도,강원 원주시,0
강원도,강원 철원군,0
강원도,강원 춘천시,0
강원도,강원 태백시,0
강원도,강원 평창군,0
강원도,강원도 탄광문화촌,0
강원도,강원도립화목원,0
강원도,강원도세계잼버리장,0
강원도,강원숲체험장,0
강원도,강원쥬라기랜드,0
강원도,강원참숯,0
강원도,강재구공원,0
제주도,강정천,0
경상남도,강주연못,0
전라북도,강증산 탄생지,0
전라남도,강진 갯들소리마을,0
전라남도,강진 고려청자 요지,0
전라남도,강진 금곡사 삼층석탑,0
전라남도,강진 백련사 동백나무 숲,0
전라남도,강진 백사어촌체험마을,0
전라남도,강진 백운동별서정원,0
전라남도,강진 병영마을 옛 담장,0
전라남도,강진 삼인리 비자나무,0
전라남도,강진 서중어촌체험마을,0
전라남도,강진 월남사지 삼층석탑,0
전라남도,강진 월남사지 진각국사비,0
전라남도,강진 전라병영성,0
전라남도,강진 청자골달마지마을,0
전라남도,강진마도진만호성지,0
전라남도,강진만,0
전라남도,강진영랑생가,0
전라남도,강진향교,0
전라북도,강천사 모과나무,0
전라북도,강천사(순창),0
충청북도,강천사(제천),0
전라북도,강천사계곡,0
전라북도,강천산계곡,0
전라북도,강천산군립공원,0
전라북도,강천산휴양농원,0
강원도,강촌 번지점프,0
강원도,강촌 자전거 하이킹,0
강원도,강촌 출렁다리공원,0
강원도,강촌랜드,0
강원도,강촌레저 서바이벌,0
강원도,강촌유원지,0
강원도,강촌환경생태연못,0
경기도,강한사,0
인천,강화 갑곶리 탱자나무,0
인천,강화 고인돌 유적 [유네스코 세계문화유산],0
인천,강화 달빛동화마을,0
인천,강화 덕진진,0
인천,강화 도래미마을,0
인천,강화 동막해변,0
인천,강화 사기리 탱자나무,0
인천,강화 서도 중앙교회,0
인천,강화 석수문,0
인천,강화 선원사지,0
인천,강화 아르미애월드,0
인천,강화 용두레마을,0
인천,강화 장정리 석조여래입상,0
인천,강화 장정리 오층석탑,0
인천,강화 참성단,0
인천,강화 초지진,0
인천,강화 홍릉,0
인천,강화 화문석마을,0
인천,강화갯벌 및 저어새번식지,0
인천,강화도,0
인천,강화도제적봉 평화전망대,0
인천,강화산성,0
