,0
356,뉘미럴
357,늙다리
358,니 얼굴 실화냐
359,니귀미
360,니기미
361,니기미 네미(어떤 일에 대하여 몹시 못마땅할 때 욕으로 하는말)의 잘못. 니미와는 다르다
362,니미
363,니미랄
364,니미랄
365,니미럴
366,니미럴
367,니미롤
368,니미를
369,니미뽕 니미(니애미)라는 패드립에 뽕이라는 어감을 추가한 것
370,니미씹
371,니보지
372,니상년
373,니아배
374,니아베
375,니아비
376,니애미
377,니애비
378,니어매
379,니어메
380,니어미
381,니어미
382,니에미
383,니에비
384,니좆
385,닝기리
386,닝기미
387,닥쳐 어원은 닭 + 쳐 이다. 입을 다물라는 욕. 입이나 아가리를 앞에 붙여(=아닥) 쓰기도 한다. 그래도 가리진 않는다. 요즘은 수위가 굉장히 낮아졌다.
388,닭대가리(돌대가리나 새대가리라고도 한다.)
389,대가리
390,대갈통
391,대강이
392,대딩
393,대딸
394,대부분 'ㅅ'과 'ㅆ'을 서로 호환하여 사용할 수 있다.
395,뎃빵
396,뎡신
397,도라이
398,돈놈
399,돈지랄
400,돈지랄하다
401,돌대가리
402,돌아이
403,돌은놈
404,동자질
405,되놈
406,되질래
407,뒈져
408,뒈져라
409,뒈지다
410,뒈진
411,뒈진다
412,뒈질
413,뒤질래
414,등때기
415,등신
416,"등신 한자로는 等神으로 원래는 한국 무속신앙에서 제례용으로 쓰던 일종의 우상을 일컫는 말이었다. 그것이 ""(우상처럼) 아무것도 못하는 놈"" 의 뜻을 거쳐 현재의 의미로 변화되었다."
417,디져라
418,디진다
419,디질래
420,딩시
421,따까리 누군가에게 신하처럼 여겨지는 것을 나타낸다. 쉽게말해서 종.
422,따먹다
423,따식
424,딱가리
425,딸딸이
426,딸딸이 부대(혹은 딸딸이대) 일본 자위대를 스스로 지킨다는 뜻의 자위(自衛)가 아닌 일본 성문화와 겹쳐 자위(自慰)의 뜻으로 비꼬아 부르는 표현. 파생어로 영어로 바꾼 ‘마스터베이션 아미(Masturbation Army)’라고도 부르기도 한다.
427,때놈
428,땜통
429,떡치기
430,떡칠녀
431,떼거리
432,뗑깡
433,또라이
434,또라이(돌아이)
435,똘똘이
436,똘마니
437,똘아이
438,똘아이
439,똥
440,똥간
441,똥갈보
442,똥개
443,똥고집
444,똥꼬
445,똥창
446,똥컴
447,똥탕
448,똥털
449,똥통
450,뙈놈
451,뙤놈
452,뙨넘
453,뙨놈
454,뚜쟁
455,뛰발
456,띄발
457,띠ㅋ발
458,띠바
459,띠발
460,띠발
461,띠불
462,띠팔
463,룸섹스
464,마빡
465,마스터베이션
466,맘충
467,맛세이
468,매국노
469,매춘
470,매춘부
471,맹꽁이
472,머리통
473,머저리 바보나 멍청이와 비슷한 말. 이청준의 소설 '병신과 머저리'에 제목으로 쓰였다.
474,먹사 교회를 치부의 수단으로 생각하는 목사들의 행태에서 비롯된 말.
475,멍청도 충청도 비하발언
476,멍청이
477,메친넘
478,메친놈
479,모가지
480,몸안에사정
481,몸캠
482,몸켐
483,몸파는
484,무데뽀
485,묵찌빠
486,뮈칀세끼
487,뮈칀세리
488,뮈칀섹끼
489,뮈친
490,뮈친세리
491,뮈친섹끼
492,뮈친섹이
493,미제 미국 제국주의자 놈들 이라는 뜻으로 북한이 미국을 욕할 때에 쓰이는 욕이다.
494,미췬
495,미췬
496,미췬
497,미췬년
498,미췬세끼
499,미췬쉐리
500,미치광이
501,미친
502,미친
503,미친
504,미친개
505,미친넘
506,미친넘
507,미친년
508,미친년
509,미친년
510,미친놈
511,미친놈
512,미친뇬
513,미친새끼
514,미친새끼
515,미친새끼
516,미친세리
517,미친섹이
518,미친스까이
519,미친자식
520,미튄
521,미틘
522,미틩
523,미틴
524,미틴
525,미틴넘
526,미틴년
